num players,mean
5,0.992
6,0.9953703703703703
7,0.9970845481049563
8,0.998046875
9,0.9998475842097241
10,0.9999
11,0.9999316986544635
12,0.999951774691358
13,0.9999649872203354
14,0.9999739691795085
15,0.9999802469135802
16,0.9999990463256836
17,0.9999992957037223
18,0.999999470778506
19,0.9999995961389266
20,0.9999996875
21,0.9999997551480729
22,0.9999998059620866
23,0.9999998446322702
24,0.9999998744132588
25,0.999999995904
26,0.9999999967628717
27,0.9999999974188252
28,0.999999997924839
29,0.9999999983188286
30,0.9999999986282578
31,0.9999999988732441
32,0.9999999990686774
33,0.9999999992256874
34,0.9999999993526688
35,0.9999999994560089
36,0.9999999999872391
37,0.9999999999894661
38,0.9999999999912599
39,0.999999999992713
40,0.9999999999938964
41,0.9999999999948653
42,0.9999999999956624
43,0.999999999996321
44,0.999999999996868
45,0.9999999999973238
46,0.9999999999977055
47,0.9999999999980261
48,0.9999999999982966
49,0.9999999999999699
50,0.9999999999999744
51,0.9999999999999781
52,0.9999999999999813
53,0.9999999999999839
54,0.9999999999999861
55,0.999999999999988
56,0.9999999999999897
57,0.999999999999991
58,0.9999999999999922
59,0.9999999999999932
60,0.999999999999994
61,0.9999999999999948
62,0.9999999999999954
63,0.999999999999996
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
